"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Tonträger (CD)","112","Bach, J.S.","Matthäus-Passion BWV244","4","01","BIBO RT","TB3-0 BAC","1","TELDEC Classic Int. GmbH","0","1994","","9947611X","Nikolaus Harnoncourt, Wiener SK, Regensburger Domchor, Kings College Choir Cambridge (ADD) 3 CD s (Cass.)"
"Tonträger (CD)","113","Bach, J.S.","Kantaten mit Corno da caccia","4","01","BIBO RT","TB3-0 BACH","1","Capriccio Delta Music GmbH","0","1984","","99483435","Ludwig Güttler, Thomaner Rotzsch

Exz. auf Kassette, BWV 14, 51, 143"
"Noten","114","Händel, G.F.","Sonate F-Dur (op1/11 OFB40)

f. Altblfl.  BC","5","01","Bibo RT","H101 Hän CD","0","Schott Mainz","0","1950","","94314933",""
"Noten","115","Händel, G.F.","Vier Sonaten f. Altblfl.,Qfl., Oboe o. Vl. + BC op.1/ 2(g), 4(a), 7 (C), 11(F)","5","01","Bibo RT","H100 Hän CD","0","Musikverlag Max Hieber München","0","1991","","93280687","MH 1038

eigentlich recht gut (Spinett), könnte man mal kopieren"
"Tonträger (CD)","116","Bach, J.S.","Kantaten 120, 119, 29

Gott,man lobt dich i d Stille;

Preise, Jerusalem, den Herrn;

Wir danken Dir, Gott","5","01","Bibo RT","TB 3-0","1","Harmonia Mundi F-Arles","0","2000","","99442273","Collegium Vocale - Philippe Herreweghe beste Sachen auf Casette kopiert, BWV 29, 119 f."
"Tonträger (CD)","117","Bach, J.S.","Die Bachkantate Vol. 6 (3x)

BWV 50, 140, 29

Nun ist das Heil & die Kraft;

Wachet auf,ruft uns d. Stimme;

Wir danken Dir, Gott","5","01","Bibo RT","TB 3-0 Bach, JS","1","Hänssler Verlag Neuhausen-Stg.","0","1985","","99481732","beste Sachen auf Cassette

Bach-Ensemble, H. Rilling, BWV 50, 140"
"Tonträger (CD)","118","Bach, J.S.","Kaffee- (211) & Bauern-Kantate Schweigt still, plaudert nicht

Mer hahn en neue Oberkeet","5","01","Bibo RT","TB 3-0 Bach JS","0","ram Braunschweig","0","1992","","99483161","nicht so doll, BWV 211 f.

Martin Krumbiegel, Georg Christoph Biller ... Matthias Eisenberg"
"Tonträger (CD)","119","Bach, J.S.","Hochzeitskantaten(210,202,51)

O holder Tag, erwünschte Zeit

Weichet nur, betrübte Schatten

Jauchzet Gott in allen Landen","5","01","Bibo RT","TA 4-0 Bach, JS","0","Dt. Grammophon GmbH Hamburg","0","1999","","99507004","Christine Schäfer

Musica Antiqua Köln, Reinhard Göbel

BWV 51, 202, 210"
"Tonträger (CD)","120","Bach, J.S.","Cantatas Ostern (6, 66)

Bleib bei uns

Erfreut Euch, ihr Herzen","5","01","Bibo RT","TB 3-0 Bach, JS","1","Dt. Grammophon GmbH Hamburg","0","2000","","99509972","The Monteverdi Choir, The English Baroque Soloists, John Eliot Gardiner

Exz. auf Kasstte beste Sachen, BWV 6 & 66"
"Roman, histor.","121","Follett, Ken","Die Tore der Welt

(World without end)","1","09","Seba","","0","Gustav Lübbe","0","2007","","","ISBN 978-3-7857-2316-6

aus dem Jahr 1327 ff. wird die Geschichte der Nachfahren Jack Builders (Säulen der Erde) erzählt, Hauptpersonen: Merthin, Ralph Builder, Caris,Gwenda"
"Roman","122","Safier, David","Jesus liebt mich - Jesus in love","2","09","uns","","0","Rowohlt in Reinbek b. Hamburg","2","2008","","","ISBN 978-3-463-40552-0

Jesus kommt zum jüngsten Gericht wieder und verliebt sich in die gewöhnliche Marie - lustig!"
"Roman, histor.","123","Kinkel, Tanja","Die Puppenspieler","2","09","Margret Högi","","0","Bertelsmann Medien","0","1998","","005256","Lebenslauf von Richard Artzt ab 1484, mit Jakob Fugger, Savija und Aufenthalten in Italien (Florenz, Rom)"
"Roman, histor.","124","Gable, Rebecca","Das zweite Königreich","2","09","wir","","0","Bastei Lübbe Taschenbuch","8","2005","3-404-14808-8","","England im 11.Jhr, Geschichte von Caedmon of Helmsby, als König Williams Berater (Normandie, Englands), Figuren: Alesia, Wulfnoth Godwinson"
