"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Noten","44","Vivaldi, Antonio","Concerto in d

RV.96; (FXII,42)","1","99","Bibo RT","O22Viv","1","Musica Rara, Monteux, France","0","1970","","","M.R.1251

for Fl;V;Bassoon;Co."
"Noten","45","Telemann, Georg Philipp","Suite G-Dur","1","99","Bibo RT","O12Tel","1","Bärenreiter VerlagKassel Basel","0","1955","","","Bärenreiter Ausgabe 2994

for Fl;V;BC"
"Noten","46","Händel, Georg Friedrich","Sonate c-Moll

op.2 Nr.1

(Kammertrio Nr. 7)","1","99","Bibo RT","O12Hän","1","Breitkopf & Härtel Leipzig","0","1981","","","Breitkopf&Härtels Kammermusikbibliothek Nr.1917

for Fl;V;BC"
"Noten","47","Händel, Georg Friedrich","Concerto a quattro d-Moll","1","99","Bibo RT","O22Hän","1","B. Schotts Söhne Mainz","0","1935","","","Antiqua 51

for Fl.(V);V;Vc;BC"
"Noten","89","Bach, J.S.","Sonaten Bd. 1

f. Fl. & Cemb. (hrsg. Kurt Soldan) BWV 1030-32","3","00","Bibo RT","H111 Bach, J.S.","1","C.F. Peters Frankf., NY, Lond.","0","1967","","90280252","Bd.1: 1030 in h / 1031: Es / 1032 in A (nicht in C wie bei Duo)/ Exz.: 1030-4 2.Teil Presto ->VioNoten, Casett, MIDI"
"Noten","49","Bach, J.S.","Violin Concerto a (BWV1041)

Violin Concert E (BWV 1042)","1","99","Bibo RT","L10Bach","0","Music Minus One","0","0000","","","mit CD zum Mitspielen"
"Noten","50","Vivaldi, Antonio","Konzert f. Vio, Streicher,BC

PV 1 ""L estro armonico"" op3Nr6

a-Moll RV 356","1","99","Bibo RT","L11Viv","0","C:F:Peters Frankfurt","0","1958","","","mit CD zum Mitspielen

Ausgabe f. Klavier"
"Noten","51","Bach, J.S.","Triosonate aus dem Musikal. Opfer c-Moll (1747), BWV 1079/8","1","99","Bibo RT","O12Bach","1","C.F. Peters Frankfurt","0","0000","","","Edition Peters Nr. 237a

f. Fl.(V);V;BC

mit CD zum Mitspielen, toll,schwer"
"Fach-/ Lehrbuch","53","Kreeft, Peter","Dienstanweisung für eine schöne neue Welt","2","99","Heike","","0","Brunnen Verlag Giessen Basel","2","1998","3-7655-3601-6","","C.S. Lewis, Aldous Huxley und John F. Kennedy - Ein Gespräch irgendwo zwischen Himmel und Hölle"
"Roman","54","Robinson Barbara","Hilfe die Herdmanns kommen","3","99","Almut","","0","Verlag Friedrich Oetinger Hamb","0","1996","3-7891-1989-X","","Orig. in Engl.: The Best Christmas Pageant Ever, Weihnachtsspiel mit schrecklicher Familie Herdmann"
"Roman","55","Fredriksson, Marianne","Simon","7","99","wir","","0","Wolfgang Krüger Verlag","0","1998","3-8105-0635-4","","Simon (jüdisch) wächst bei Pflege- eltern Erik und Karin in Schweden auf, Pers.: Ruben Lentov, Isak Lentov"
"Fach-/ Lehrbuch","56","Kopka, Helmut","LATEX - Band 2

Ergänzungen - mit einer Einführung in METAFONT","8","99","Bibo RT","Wbr 274 Kop","1","Addison-Wesley","1","1995","3-89319-665-X","94115981","Exz. im Latex-Book, zus. Pakete wie SLITEX und MUSICTEX dt. und gut erklärt"
"Noten","57","","Die 3 B s: Bach, Beethoven, Brahms für Violine","8","99","Bibo RT","L 10 S Thr","0","Music Minus One","0","1970","","93263448","MMO 5041 m. CD 3125"
"Noten","58","","Classic goes Pop - Band 1","8","99","Bibo RT","L 11 S Cla/CD","0","Hermania Musikverlag Köln","0","1995","","96410091","Bach, Beethoven, Chopin, Scarlatti, Schumann ..."
"Noten","59","Schubert, Franz","Sonatinen für Klavier und Violine op. 137","8","99","Bibo RT","L 11 Schu","0","C. F. Peters","0","1991","","91273985","Edition Peters Nr. 156a"
"Noten","60","Händel, Georg Friedrich","Sonaten für Violine mit beziffertem Bass","8","99","Bibo RT","L 11 Hän","0","C. F. Peters","0","1992","","92282600","Edition Peters Nr. 4157a

Sehr schön und kopierenswert bei Gelegenheit nur viel zu schnell"
"Noten","61","Mendelssohn Bartholdy, Felix","Violin Concerto in E minor op.64","8","99","Bibo RT","L 10 Men","0","Music Minus One","0","0000","","93263480","CD Nr. 3101"
"Fach-/ Lehrbuch","62","Cuno, Sabine (Hrsg.)","Mein buntes Bastelbuch","8","99","Bibo RT","Bast. 4.3Y Mein","0","Ravensburger Buchverlag","1","1995","3-473-37187-4","96443599","Rindenschiffchen z.B. erklärt"
"Fach-/ Lehrbuch","63","Penfold, Robert A.","Midi von Anfang an","8","99","Bibo RT","Sbe 41 Penf","0","Elektor-Verlag Aachen","0","1991","3-92805-1-15-6","92084000",""
"Fach-/ Lehrbuch","64","Schlichter, Wolfgang","Soundverarbeitung mit MIDI","8","99","Bibo RT","Sbe 41 Schlich","0","Franzis-Verlag GmbH Poing","0","1994","3-7723-6352-0","95189344",""
"Fach-/ Lehrbuch","65","Pohl, Thomas","Sequenzer works","8","99","Bibo RT","Sbe 41 Pohl","0","AMA Verlag GmbH Brühl","0","1996","3-92719-0-39-X","97225919","Diskette (kopiert) + CD"
"Noten","66","Händel, Georg Friedrich","Acht Stücke für Flöte oder Violine und Violoncello","8","99","Bibo RT","N 1001 Hän","0","Amadeus Verlag Winterthur /CH","0","1977","","85204440","BP652, ausgeliehen für Regine (Lehrerin in Franz. Sch.)"
"Noten","67","","Fugen mitteldeutscher Meister für vier Instrumente

Fugenbuch Teil IV","8","99","Bibo RT","P 30 S Fug","0","Möseler Verlag Wolfenbüttel","0","1957","","85220543","CORONA-Werkreihe für Kammerorchester Nr.47"
"Noten","68","Fux, J. J.","Tänze

für 3 Melodieinstrumente","8","99","Bibo RT","P 30 Fux","0","Moeck Verlag Celle","0","1960","","83202238","Edition Moeck Nr. 1050

teilweise kopiert"
"Noten","69","Fasch, Johann Friedrich","Concerto G-Dur","8","99","Bibo RT","O 22 Fas","0","Heinrichshofen, Wilhelmshaven","0","1970","","80219202","kopiert"
"Noten","70","Telemann, Georg Philipp","Concerto in G-Dur

für Fl., 2 Vio. und B.C.","8","99","Bibo RT","O 22 Tel","0","Amadeus Verlag Zürich /CH","0","1979","","85205749","nicht kopiert, viele Stimmen spielen doppelt"
"Noten","71","Vivaldi, Antonio","Concerto IX F-Dur ""L estro armonico"" op.3 (RV567)","8","99","Bibo RT","O 302 Viv","0","Bärenreiter Verlag Kassel","0","1968","","82223150","BA 3715"
"Noten","72","Bach, J.S.","Concerto g-moll BWV 152

Concerto G-Dur  BWV 182

Sonatina F-Dur  BWV 106","8","99","Bibo RT","O 32 Bach, J.S.","0","Möseler Verlag Wolfenbüttel","0","1971","","86263165","CORONA-Werkreihe für Kammerorchester Nr.109, sehr schön"
"Roman","73","Mahmoody, Betty","Nicht ohne meine Tochter","9","99","wir","","0","Gustav Lübbe (Bastei-Lübbe)","38","1991","3-404-61130-6","","Betty und Ihre Tochter (Mahtab) werden von ihrem Mann (Moody) während eines Urlaubs im Iran festgehalten"
"Roman, histor.","74","Cross, Donna W.","Die Päpstin","9","99","wir","","0","Aufbau Taschenbuch Verlag","17","1999","3-7466-1400-7","","Lebenslauf von Johanna, später Bruder Johannes Anglicus bis zum Pontifikat (Papst)"
"Roman","75","Krakauer, Jon","In eisigen Höhen - das Drama am Mt. Everest","10","99","wir","","0","Piper Verlag GmbH München","9","1998","3-89029-110-4","","Gruppe besteigt 1996 den M.E., viele verunglücken, Aufarbeitung im Buch"
"Ing.- Lehrbuch","76","Walz, Werner; Niemann, Harry","Daimler-Benz

wo das Auto anfing","10","99","Bibo RT","WKM 2 Daim","1","Verlag Stadler Konstanz","6","1997","3-7977-0364-3","97134982","Geschichte des Konzerns"
"Fach-/ Lehrbuch","77","Braut, Christian","Das MIDI Buch","1","00","Bibo RT","Sbe 41 Brau","1","SYBEX-Verlag GmbH, Düsseldorf","1","1993","3-8155-7023-9","93112849","mit 2 Disketten MIDI-Files + Winjammer

Exzerpt: MIDI.WP

DM 89,-"
"Fach-/ Lehrbuch","78","Noll, Justus","Musik - Programmierung

MIDI, C und Multimedia","1","00","Bibo RT","Sbe 41 Noll","0","Addison-Wesley GmbH","1","1994","3-89319-537-8","95146522","mit CD viel Software (C-Quellen, TeX)"
"Ing.- Lehrbuch","79","Hering, Ekbert (u.a. Hrsg.)","Qualitätssicherung für Ingenieure","12","99","Bibo DCAG 050","WFE 1 Qual","1","VDI-Verlag Düsseldorf","0","1993","3-18-40-1100-3","","Exzerpt + Kopie auf Papier"
"Ing.- Lehrbuch","80","Franke, Hinrich","Qualitätsmanagement bei Zulieferungen","1","00","Bibo DCAG 050","WFE 1 Fran","0","expert-Verl. München, Hussverl","0","1994","3-8169-0749-0","","Huss: 3-921455-82-0

Einf. in die QM-Methoden, Haftungs- rechtl. Aspekte, QM-Partnerschaftsstra tegie"
"Noten","81","Händel, Georg Friedrich","Triosoante in F-Dur

für Fl. Vio. B.C.

op. 2 Nr. 4","12","99","Bibo RT","O 12 Hän","0","Nagels Verlag Kassel (Bärenrt)","0","1971","","80218265","Nagels Musik Archiv Nr. 150"
"Noten","82","Martin Schlensog (zusgstellt)","Zeitschrift f Spielmusik 39. Heft:   ALTE WEIHNACHTSMUSIK

für 2 Stimmen","12","99","Bibo RT","R 202 S Alt","0","Hermann Moeck Verlag Celle","0","1935","","87272753","MY87272753 A01/0"
"Noten","83","Bach, J.S.","Sonata C-Dur - f. Fl., 

Viola da Gamba (Vl.) B.C.

rek. nach BWV1027+1039","1","00","Bibo RT","O 12 Bach, J.S.","1","B. Schott s Söhne Mainz","0","1972","","86265958","+ hersg. v. Reinhard Gerlach

Antiqua 11

schöne Linien, b. MK kein pos. Echo"
"Noten","84","Bach, J.S.","10 Kanons aus dem Musikali- schen Opfer (BWV 1079) Fl. Vl. Cemb. Vc. BWV 1079","1","00","Bibo RT","O 12 Bach, J.S.","0","Verlag Doblinger, Wien München","0","1980","","85213474","Fassung von Johann Sonnleitner

Diletto Musicale Nr 809 (Doblingers Reihe alter Musik)"
"Noten","85","Bach, J.S.","Triosonate C-Dur

Fl. Vl. B.C. nach der Sonate A-Dur BWV 1032","1","00","Bibo RT","O 12 Bach, J.S.","1","Bärenreiter Kassel Basel Ld NY","0","1988","","89260108","Hortus Musicus 254"
